id_x,budget,popularity,revenue,title,avg_rating,rate_count,year,month,day,director_name,gender,movie_expense,profit,movie_performance,total_profit,director_performance,directors_rank,Release_Season,day_type,avg_profit_per_year,avg_total_profit_per_year
43612,225.0,53,419.65,The Chronicles of Narnia: Prince Caspian,6.3,1630,2008,May,Thursday,Andrew Adamson,Male,97.0,194.64999999999998,Normal,1966.86,Normal,15.0,Spring,Weekday,97.81507462686567,777.1591044776119
43614,380.0,135,1045.71,Pirates of the Caribbean: On Stranger Tides,6.4,4948,2011,May,Saturday,Rob Marshall,Male,252.0,665.71,Blockbuster,1141.46,Normal,32.0,Spring,Weekend,96.11925373134328,946.4002985074627
43615,225.0,52,624.03,Men in Black 3,6.2,4160,2012,May,Wednesday,Barry Sonnenfeld,Male,121.39285714285714,399.03,Blockbuster,1467.1799999999998,Normal,25.0,Spring,Weekday,140.09122448979593,997.1065306122449
43616,250.0,120,956.02,The Hobbit: The Battle of the Five Armies,7.1,4760,2014,Dec,Wednesday,Peter Jackson,Male,106.33333333333334,706.02,Blockbuster,5205.650000000001,Best,2.0,Winter,Weekday,137.50490566037737,872.9090566037736
43618,200.0,37,310.67,Robin Hood,6.2,1398,2010,May,Wednesday,Ridley Scott,Male,119.375,110.67000000000002,Normal,1899.55,Normal,16.0,Spring,Weekday,100.51301587301587,784.8712698412699
43619,250.0,94,958.4,The Hobbit: The Desolation of Smaug,7.6,4524,2013,Dec,Wednesday,Peter Jackson,Male,106.33333333333334,708.4,Blockbuster,5205.650000000001,Best,2.0,Winter,Weekday,100.15491228070175,899.7371929824561
43620,180.0,42,372.23,The Golden Compass,5.8,1303,2007,Dec,Tuesday,Chris Weitz,Male,127.0,192.23000000000002,Normal,1130.3,Normal,33.0,Winter,Weekday,100.77203703703705,706.7029629629629
43621,207.0,61,550.0,King Kong,6.6,2337,2005,Dec,Wednesday,Peter Jackson,Male,63.33333333333334,343.0,Blockbuster,5205.650000000001,Best,2.0,Winter,Weekday,76.39154929577465,964.4594366197182
43622,200.0,100,1845.03,Titanic,7.5,7562,1997,Nov,Tuesday,James Cameron,Male,93.3,1645.03,Blockbuster,5136.67,Best,3.0,Autumn,Weekday,96.21869565217392,1040.8167391304348
43624,209.0,64,303.03,Battleship,5.5,2114,2012,Apr,Wednesday,Peter Berg,Male,111.66666666666667,94.02999999999997,Normal,669.8399999999999,Normal,65.0,Spring,Weekday,140.09122448979593,997.1065306122449
43626,200.0,93,1108.56,Skyfall,6.9,7604,2012,Oct,Thursday,Sam Mendes,Male,105.14285714285714,908.56,Blockbuster,2049.5499999999997,Normal,14.0,Autumn,Weekday,140.09122448979593,997.1065306122449
43627,200.0,35,783.77,Spider-Man 2,6.7,4321,2004,Jun,Friday,Sam Raimi,Male,114.4590909090909,583.77,Blockbuster,2191.95,Normal,10.0,Summer,Weekday,100.4783606557377,813.7229508196721
43629,200.0,78,1025.49,Alice in Wonderland,6.4,4645,2010,Mar,Wednesday,Tim Burton,Male,128.78571428571428,825.49,Blockbuster,2340.43,Best,9.0,Spring,Weekday,100.51301587301587,784.8712698412699
43630,210.0,3,459.36,X-Men: The Last Stand,6.3,3525,2006,May,Wednesday,Brett Ratner,Male,116.11111111111111,249.36,Normal,886.59,Normal,45.0,Spring,Weekday,80.45287671232877,673.7645205479452
43632,150.0,21,836.3,Transformers: Revenge of the Fallen,6.0,3138,2009,Jun,Friday,Michael Bay,Male,32.5,686.3,Blockbuster,4422.54,Best,4.0,Summer,Weekday,120.02454545454545,822.805606060606
43633,210.0,116,1091.41,Transformers: Age of Extinction,5.8,3095,2014,Jun,Wednesday,Michael Bay,Male,92.5,881.4100000000001,Blockbuster,4422.54,Best,4.0,Summer,Weekday,137.50490566037737,872.9090566037736
